,NetID,Last Name,First Name,Email Address,Ceiling Score,Final Grade
77,nxm87406,Mann,Nicole,nicole.mann@univ.edu,86.0,B
78,sgm04582,Marshall,Shawn,shawn.marshall@univ.edu,72.0,C
79,asm59771,Martin,Ashley,ashley.martin@univ.edu,72.0,C
80,kxm62826,Mccall,Kimberly,kimberly.mccall@univ.edu,79.0,C
81,axm26865,Miller,Anthony,anthony.miller@univ.edu,78.0,C
82,jxm83777,Miller,Jorge,jorge.miller@univ.edu,80.0,B
83,sem28474,Miller,Stephen,stephen.miller@univ.edu,76.0,C
84,bxm17365,Miranda,Brett,brett.miranda@univ.edu,83.0,B
85,kam90876,Moore,Kimberly,kimberly.moore@univ.edu,75.0,C
86,bgm86325,Myers,Brian,brian.myers@univ.edu,76.0,C
87,cxn83965,Nguyen,Cindy,cindy.nguyen@univ.edu,72.0,C
88,dxn21936,Nguyen,Donna,donna.nguyen@univ.edu,73.0,C
89,jxo31236,Odom,John,john.odom@univ.edu,78.0,C
90,tmo55387,Ortega,Tiffany,tiffany.ortega@univ.edu,76.0,C
91,txp55047,Parker,Timothy,timothy.parker@univ.edu,81.0,B
92,mjp68159,Patrick,Mark,mark.patrick@univ.edu,74.0,C
93,njp08545,Patterson,Nicole,nicole.patterson@univ.edu,84.0,B
94,dxp49123,Payne,Douglas,douglas.payne@univ.edu,72.0,C
95,jmp63760,Pena,Jonathan,jonathan.pena@univ.edu,74.0,C
96,jxp06435,Perez,Jeffrey,jeffrey.perez@univ.edu,77.0,C
97,ksp17362,Petersen,Kristin,kristin.petersen@univ.edu,74.0,C
98,mxp86000,Poole,Melissa,melissa.poole@univ.edu,82.0,B
99,bdp78944,Powers,Brooke,brooke.powers@univ.edu,80.0,B
100,rxp56459,Price,Ricardo,ricardo.price@univ.edu,82.0,B
101,txr84689,Ramirez,Timothy,timothy.ramirez@univ.edu,73.0,C
102,tbr17292,Raymond,Troy,troy.raymond@univ.edu,77.0,C
103,lcr30757,Reid,Laura,laura.reid@univ.edu,73.0,C
104,bkr19538,Reilly,Brandy,brandy.reilly@univ.edu,78.0,C
105,bxr62103,Reyes,Bailey,bailey.reyes@univ.edu,77.0,C
106,cxr98775,Reyes,Carol,carol.reyes@univ.edu,81.0,B
107,jxr10806,Reyes,Jason,jason.reyes@univ.edu,76.0,C
108,kpr82051,Rhodes,Kimberly,kimberly.rhodes@univ.edu,79.0,C
109,rkr43763,Rice,Rhonda,rhonda.rice@univ.edu,78.0,C
110,skr62062,Roberts,Steven,steven.roberts@univ.edu,77.0,C
111,akr14831,Rodriguez,Alexander,alexander.rodriguez@univ.edu,81.0,B
112,jsr21334,Rodriguez,John,john.rodriguez@univ.edu,77.0,C
113,sbr74322,Rogers,Sherry,sherry.rogers@univ.edu,77.0,C
114,oxr30270,Rush,Oscar,oscar.rush@univ.edu,67.0,D
115,sxs30610,Sampson,Stephanie,stephanie.sampson@univ.edu,78.0,C
116,bms82804,Sanders,Beth,beth.sanders@univ.edu,72.0,C
117,rxs30280,Saunders,Richard,richard.saunders@univ.edu,76.0,C
118,bxs54690,Schwartz,Billy,billy.schwartz@univ.edu,78.0,C
119,mxs33225,Scott,Michelle,michelle.scott@univ.edu,79.0,C
120,fxs77894,Simpson,Felicia,felicia.simpson@univ.edu,84.0,B
121,aes07091,Smith,Andrea,andrea.smith@univ.edu,80.0,B
122,cjs43553,Smith,Crystal,crystal.smith@univ.edu,77.0,C
123,kxs29884,Smith,Kerry,kerry.smith@univ.edu,76.0,C
124,mxs33416,Smith,Matthew,matthew.smith@univ.edu,74.0,C
125,sxs90647,Smith,Samantha,samantha.smith@univ.edu,73.0,C
126,lxs77616,Sparks,Leslie,leslie.sparks@univ.edu,77.0,C
127,mxs29840,Stevens,Marcia,marcia.stevens@univ.edu,87.0,B
128,mat59156,Taylor,Michael,michael.taylor@univ.edu,71.0,C
129,ajt73762,Terry,Amy,amy.terry@univ.edu,72.0,C
130,txt65366,Terry,Thomas,thomas.terry@univ.edu,80.0,B
131,bxt62105,Thomas,Brandon,brandon.thomas@univ.edu,70.0,C
132,sxt33634,Thomas,Sandra,sandra.thomas@univ.edu,76.0,C
133,jxu45537,Underwood,James,james.underwood@univ.edu,76.0,C
134,sxv18182,Vasquez,Sara,sara.vasquez@univ.edu,67.0,D
135,jxw53347,Walls,Joyce,joyce.walls@univ.edu,74.0,C
136,jxw98212,Walsh,Jill,jill.walsh@univ.edu,72.0,C
137,axw80146,Warren,Angela,angela.warren@univ.edu,77.0,C
138,tsw14969,Warren,Tamara,tamara.warren@univ.edu,84.0,B
139,txw75701,Washington,Travis,travis.washington@univ.edu,78.0,C
140,cxw68726,Watkins,Carol,carol.watkins@univ.edu,75.0,C
141,hsw06874,Watson,Holly,holly.watson@univ.edu,78.0,C
142,hxw92728,Webb,Heather,heather.webb@univ.edu,68.0,D
143,sxw76890,Weber,Samuel,samuel.weber@univ.edu,80.0,B
144,alw07647,White,Amy,amy.white@univ.edu,85.0,B
145,lkw48972,Wilkerson,Levi,levi.wilkerson@univ.edu,82.0,B
146,kxw26270,Williams,Kimberly,kimberly.williams@univ.edu,77.0,C
147,cxw91147,Wolf,Courtney,courtney.wolf@univ.edu,77.0,C
148,jxw87000,Woodard,John,john.woodard@univ.edu,78.0,C
149,jty40106,Young,Joseph,joseph.young@univ.edu,80.0,B
